State,Female_000,Male_000,Total_000,FemaleSharePct
Johor,1843.0,2083.6,3926.6,46.94
Kedah,1114.1,1153.3,2267.4,49.14
Kelantan,966.5,993.2,1959.7,49.32
Melaka,472.3,488.2,960.5,49.17
Negeri Sembilan,556.9,605.8,1162.7,47.9
Pahang,816.7,933.5,1750.2,46.66
Perak,1280.9,1330.7,2611.6,49.05
Perlis,133.0,131.7,264.7,50.25
Pulau Pinang,894.0,912.5,1806.5,49.49
Sabah,1924.0,2122.9,4046.9,47.54
Sarawak,1393.4,1513.8,2907.2,47.93
Selangor,3199.5,3516.2,6715.7,47.64
Terengganu,630.6,663.6,1294.2,48.73
Kuala Lumpur,921.0,989.7,1910.7,48.2
Labuan,50.1,53.0,103.1,48.59
Putrajaya,50.3,44.3,94.6,53.17
